Period,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
11,8,14.61,1.00,24.11,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.21,44.56,21.37,1.00,93.87,1.00,8.94,8.29,-0.13,1.00,9.07,-0.61,1.00,8.90,-0.42,1.00,9.35,-0.64,1.00,8.93
12,8,13.13,1.00,24.12,1.00,-9999.00,-9999.00,-9999.00,-9999.00,12.41,45.08,17.92,1.00,79.51,1.00,8.92,5.97,0.08,1.00,8.84,-2.12,1.00,8.09,-0.00,1.00,8.92,-2.19,1.00,8.15
13,8,16.72,1.00,25.02,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.79,44.95,22.53,1.00,103.42,1.00,8.65,6.99,-0.55,1.00,9.21,-1.81,1.00,8.80,-0.94,1.00,9.59,-1.97,1.00,8.96
14,8,16.94,1.00,24.67,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.38,44.79,21.12,1.00,96.17,1.00,6.67,6.29,1.07,1.00,5.60,0.31,1.00,5.97,1.31,1.00,5.36,0.13,1.00,6.15
15,8,15.13,1.00,24.21,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.87,44.90,17.44,1.00,76.64,1.00,8.39,6.85,1.10,1.00,7.30,0.08,1.00,6.77,1.36,1.00,7.04,-0.38,1.00,7.23
16,8,15.66,1.00,24.53,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.05,45.19,15.59,1.00,147.69,1.00,4.19,4.58,1.58,1.00,2.61,-0.65,1.00,5.23,1.84,1.00,2.35,-0.79,1.00,5.37
17,8,16.59,1.00,25.39,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.14,45.05,20.64,1.00,109.67,1.00,6.64,6.18,2.24,1.00,4.41,-0.41,1.00,6.59,1.68,1.00,4.96,-0.14,1.00,6.32
18,8,15.92,1.00,25.83,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.90,44.37,17.89,1.00,93.64,1.00,8.90,5.32,0.42,1.00,8.47,-1.50,1.00,6.82,0.25,1.00,8.65,-1.27,1.00,6.59
19,8,13.09,1.00,24.23,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.60,44.61,14.89,1.00,75.84,1.00,6.54,6.80,0.74,1.00,5.81,-0.66,1.00,7.46,1.60,1.00,4.94,-0.88,1.00,7.68
20,8,13.23,1.00,24.17,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.19,44.47,14.42,1.00,80.25,1.00,6.55,7.21,0.91,1.00,5.64,0.31,1.00,6.89,1.57,1.00,4.99,0.19,1.00,7.02
21,8,14.40,1.00,24.78,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.73,44.48,15.69,1.00,85.98,1.00,8.05,6.39,0.16,1.00,7.90,-0.42,1.00,6.82,0.32,1.00,7.74,-0.52,1.00,6.91
22,8,16.29,1.00,24.66,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.62,44.92,23.17,1.00,88.42,1.00,7.00,5.61,1.15,1.00,5.85,0.01,1.00,5.60,0.77,1.00,6.23,0.04,1.00,5.57
23,8,18.68,1.00,25.68,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.94,44.18,24.83,1.00,113.12,1.00,4.58,5.07,0.10,1.00,4.49,0.11,1.00,4.96,0.58,1.00,4.01,0.19,1.00,4.88
24,8,18.73,1.00,25.65,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.25,43.92,23.98,1.00,110.15,1.00,3.05,4.42,-1.39,1.00,4.44,-0.99,1.00,5.41,-0.27,1.00,3.32,-0.91,1.00,5.32
25,8,19.56,1.00,26.28,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.05,42.44,24.03,1.00,122.46,1.00,4.89,5.94,0.32,1.00,4.57,0.51,1.00,5.44,0.66,1.00,4.23,0.11,1.00,5.84
26,8,19.70,1.00,26.59,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.94,41.35,29.42,1.00,117.48,1.00,4.69,5.95,0.29,1.00,4.40,0.24,1.00,5.71,-0.01,1.00,4.70,0.16,1.00,5.79
27,8,16.72,1.00,25.98,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.89,43.65,21.95,1.00,103.95,1.00,5.45,5.48,0.33,1.00,5.12,0.06,1.00,5.42,0.44,1.00,5.01,-0.16,1.00,5.63
28,8,17.49,1.00,25.86,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.52,42.99,22.20,1.00,103.94,1.00,4.51,5.55,-1.06,1.00,5.57,-0.33,1.00,5.87,-0.56,1.00,5.07,-0.78,1.00,6.33
29,8,17.39,1.00,25.15,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.03,43.86,24.63,1.00,105.31,1.00,4.69,5.25,-1.39,0.99,6.08,-1.32,1.00,6.57,-0.61,1.00,5.30,-1.80,1.00,7.05
30,8,20.75,1.00,26.53,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.89,43.37,31.18,1.00,130.97,1.00,4.35,5.44,-1.52,1.00,5.87,-1.22,1.00,6.67,-1.21,1.00,5.55,-1.10,1.00,6.54
31,8,17.81,1.00,25.53,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.87,37.98,33.69,1.00,127.02,1.00,4.46,5.19,-2.11,1.00,6.57,-1.90,1.00,7.09,-1.04,1.00,5.50,-1.66,1.00,6.85
32,8,18.25,1.00,26.17,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.57,39.70,24.48,1.00,119.98,1.00,4.53,4.47,-2.90,1.00,7.43,-3.10,1.00,7.57,-1.81,1.00,6.34,-2.96,1.00,7.42
33,8,18.88,1.00,26.80,1.00,-9999.00,-9999.00,-9999.00,-9999.00,10.59,36.42,28.75,1.00,125.58,1.00,4.77,5.48,-2.14,1.00,6.90,-2.47,1.00,7.96,-1.96,1.00,6.73,-2.18,1.00,7.66
34,8,18.83,1.00,27.34,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.03,41.31,26.00,1.00,122.34,1.00,5.75,5.46,-2.43,1.00,8.18,-3.16,1.00,8.62,-2.83,1.00,8.58,-2.67,1.00,8.13
35,8,19.02,1.00,27.27,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.46,42.47,24.90,1.00,122.45,1.00,6.33,5.31,-2.68,1.00,9.01,-2.92,1.00,8.23,-3.00,1.00,9.34,-2.89,1.00,8.21
36,8,15.73,1.00,26.51,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.44,43.78,16.85,1.00,114.24,1.00,5.53,4.95,-2.89,1.00,8.42,-3.48,1.00,8.44,-2.62,1.00,8.16,-3.56,1.00,8.51
37,8,17.58,1.00,26.18,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.78,35.98,24.03,1.00,116.07,1.00,6.26,5.24,-1.65,1.00,7.91,-3.02,1.00,8.27,-1.64,1.00,7.90,-3.01,1.00,8.25
38,8,17.66,1.00,26.91,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.06,41.56,21.40,1.00,116.74,1.00,6.46,5.74,-2.89,1.00,9.35,-3.13,1.00,8.87,-2.99,1.00,9.45,-3.33,1.00,9.07
39,8,15.32,1.00,25.77,1.00,-9999.00,-9999.00,-9999.00,-9999.00,7.83,38.71,22.57,1.00,95.61,1.00,4.61,5.77,-1.57,1.00,6.17,-2.47,1.00,8.24,-1.24,1.00,5.85,-2.83,1.00,8.60
40,8,15.06,1.00,25.90,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.30,38.51,18.28,1.00,111.17,1.00,4.82,4.58,-3.00,0.99,7.82,-3.20,0.99,7.78,-2.54,1.00,7.36,-3.65,1.00,8.23
41,8,15.67,1.00,26.02,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.11,40.98,23.78,1.00,110.41,1.00,5.55,5.00,-2.56,0.47,8.12,-3.39,0.49,8.39,-1.85,1.00,7.40,-4.36,1.00,9.36
42,8,15.35,1.00,26.55,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.65,41.04,14.38,1.00,108.70,1.00,3.89,4.57,-2.02,0.92,5.91,-2.61,0.92,7.18,-2.73,1.00,6.63,-4.23,1.00,8.79
43,8,16.06,1.00,26.41,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.13,42.06,18.86,1.00,119.28,1.00,5.89,4.16,-2.39,0.97,8.28,-2.85,0.98,7.01,-2.44,1.00,8.33,-3.33,1.00,7.49
44,8,14.99,1.00,25.70,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.94,40.37,17.87,1.00,108.05,1.00,6.98,5.04,-2.54,1.00,9.51,-3.83,1.00,8.87,-3.03,1.00,10.00,-4.11,1.00,9.15
45,8,14.82,1.00,26.13,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.59,41.37,20.87,0.98,121.88,0.98,5.30,5.62,-2.28,0.99,7.58,-2.43,1.00,8.04,-2.17,1.00,7.47,-2.93,1.00,8.55
46,5,15.00,1.00,25.52,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.59,38.40,18.92,0.98,113.74,0.98,5.62,5.42,-2.75,0.99,8.37,-2.95,0.99,8.37,-2.19,0.99,7.81,-3.35,0.99,8.77
