Period,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,8,15.85,1.00,26.69,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.06,40.50,22.79,0.99,90.28,1.00,5.76,5.24,0.02,0.99,5.73,-0.20,0.99,5.45,-1.26,1.00,7.02,-1.08,1.00,6.32
2,8,15.50,1.00,26.30,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.19,38.82,16.05,1.00,103.23,1.00,7.52,6.63,0.03,0.98,7.49,-0.33,0.98,6.96,-1.04,1.00,8.57,-1.21,1.00,7.84
3,8,15.35,0.99,25.73,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.03,37.88,20.34,1.00,95.54,1.00,6.79,6.19,-1.94,1.00,8.74,-1.84,1.00,8.03,-2.23,1.00,9.03,-2.17,1.00,8.36
4,8,14.29,1.00,25.10,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.00,42.34,21.01,1.00,94.94,1.00,7.06,6.46,-1.52,0.98,8.58,-1.93,0.98,8.39,-0.38,1.00,7.45,-0.32,1.00,6.78
5,8,14.40,1.00,24.95,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.59,43.29,14.82,1.00,94.75,1.00,10.47,8.23,0.76,0.99,9.71,0.03,0.99,8.21,0.24,1.00,10.23,-0.06,1.00,8.29
6,8,11.67,1.00,24.13,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.57,44.15,10.05,1.00,78.84,1.00,10.34,8.33,0.82,1.00,9.52,0.11,1.00,8.23,0.36,1.00,9.99,-0.23,1.00,8.56
7,8,14.02,1.00,23.75,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.87,44.63,18.18,1.00,94.13,1.00,10.46,9.64,-0.07,1.00,10.53,-0.27,1.00,9.90,-0.32,1.00,10.78,-0.28,1.00,9.91
8,8,13.12,1.00,23.40,1.00,-9999.00,-9999.00,-9999.00,-9999.00,11.43,45.11,14.22,1.00,83.15,1.00,10.31,8.19,0.81,1.00,9.49,-0.56,1.00,8.74,0.56,1.00,9.75,-0.68,1.00,8.87
9,8,14.40,1.00,23.71,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.64,44.74,17.43,1.00,94.97,1.00,10.87,8.82,0.31,1.00,10.56,-0.98,1.00,9.80,-0.15,1.00,11.02,-1.00,1.00,9.82
10,8,13.99,1.00,24.22,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.99,44.80,16.64,1.00,93.25,1.00,9.45,8.16,-0.49,1.00,9.94,-1.10,1.00,9.26,-0.73,1.00,10.18,-1.24,1.00,9.40
