Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,0,27.99,0,-9999.00,-9999,-9999.00,-9999,0.00,38.72,-28.23,0,-7.24,0,67,64,5.791,4.001,5.678,1,0.112,4.007,1,-0.006,4.724,1,1.067,0.397,1,3.604
1,1,1.0,1.042,0.00,1,27.92,1,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,-28.78,1,-6.72,1,35,35,5.775,3.991,6.588,2,-0.813,3.079,2,0.912,6.588,3,-0.813,3.079,3,0.912
1,1,1.5,1.063,0.00,0,27.30,0,-9999.00,-9999,-9999.00,-9999,0.00,38.71,-40.50,0,0.81,0,67,64,5.646,3.907,5.678,1,-0.033,4.007,1,-0.100,6.430,1,-0.784,1.997,1,1.910
1,1,2.0,1.083,0.00,0,26.79,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,-29.70,0,-2.09,0,0,0,5.542,3.840,9.106,0,-3.564,6.119,0,-2.279,9.106,0,-3.564,6.119,0,-2.279
1,1,2.5,1.104,0.00,0,26.29,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,-18.90,0,-4.99,0,0,0,5.439,3.772,9.101,0,-3.662,10.125,0,-6.352,9.101,0,-3.662,10.125,0,-6.352
1,1,3.0,1.125,0.00,0,26.13,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,-19.10,0,5.34,0,0,0,5.407,3.751,5.705,0,-0.298,8.199,0,-4.448,5.705,0,-0.298,8.199,0,-4.448
1,1,3.5,1.146,0.00,0,25.98,0,-9999.00,-9999,-9999.00,-9999,0.00,38.71,-19.29,0,15.67,0,0,0,5.374,3.730,5.721,0,-0.346,6.274,0,-2.543,5.721,0,-0.346,6.274,0,-2.543
1,1,4.0,1.167,0.00,0,25.85,0,-9999.00,-9999,-9999.00,-9999,0.00,38.71,-18.35,0,11.35,0,0,0,5.348,3.713,3.276,0,2.072,4.572,0,-0.859,3.276,0,2.072,4.572,0,-0.859
1,1,4.5,1.188,0.00,0,25.72,0,-9999.00,-9999,-9999.00,-9999,0.00,38.71,-17.41,0,7.02,0,0,0,5.321,3.696,2.398,0,2.923,2.870,0,0.825,2.398,0,2.923,2.870,0,0.825
1,1,5.0,1.208,1.03,0,25.55,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,-11.16,0,5.45,0,0,0,5.288,3.674,4.670,0,0.617,3.681,0,-0.008,4.670,0,0.617,3.681,0,-0.008
1,1,5.5,1.229,2.07,0,25.39,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,-4.91,0,3.88,0,32,0,5.254,3.652,5.678,1,-0.424,4.493,0,-0.841,6.172,1,-0.918,4.493,0,-0.841
1,1,6.0,1.250,25.33,0,25.35,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,-3.35,0,5.50,0,96,0,5.247,3.647,7.207,1,-1.961,4.455,0,-0.807,3.513,1,1.734,4.455,0,-0.807
1,1,6.5,1.271,48.58,0,25.31,0,-9999.00,-9999,-9999.00,-9999,0.00,38.71,-1.78,0,7.13,0,96,0,5.239,3.642,4.075,1,1.164,4.417,0,-0.774,2.515,1,2.724,4.417,0,-0.774
1,1,7.0,1.292,126.96,0,25.54,0,-9999.00,-9999,-9999.00,-9999,0.00,38.72,8.76,0,35.80,0,64,0,5.285,3.672,-4.485,1,9.770,-6.314,0,9.986,-1.219,1,6.504,-6.314,0,9.986
1,1,7.5,1.313,205.33,0,25.76,0,-9999.00,-9999,-9999.00,-9999,0.00,38.72,19.30,0,64.48,0,0,0,5.331,3.702,-3.247,0,8.578,-17.044,0,20.746,-3.247,0,8.578,-17.044,0,20.746
1,1,8.0,1.333,377.22,0,26.50,0,-9999.00,-9999,-9999.00,-9999,0.00,38.72,73.51,0,119.25,0,0,0,5.482,3.801,-9.735,0,15.217,-13.973,0,17.774,-9.735,0,15.217,-13.973,0,17.774
1,1,8.5,1.354,549.11,0,27.25,0,-9999.00,-9999,-9999.00,-9999,0.00,38.72,127.72,0,174.03,0,0,0,5.635,3.900,-13.170,0,18.806,-10.903,0,14.803,-13.170,0,18.806,-10.903,0,14.803
1,1,9.0,1.375,632.56,0,28.06,0,-9999.00,-9999,-9999.00,-9999,0.00,38.71,176.30,0,192.62,0,0,0,5.805,4.010,-12.888,0,18.693,-12.082,0,16.092,-12.888,0,18.693,-12.082,0,16.092
1,1,9.5,1.396,716.02,0,28.88,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,224.89,0,211.21,0,0,0,5.976,4.121,-14.005,0,19.981,-13.261,0,17.382,-14.005,0,19.981,-13.261,0,17.382
1,1,10.0,1.417,714.00,0,29.54,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,244.31,0,259.49,0,0,0,6.114,4.211,-12.674,0,18.789,-12.832,0,17.043,-12.674,0,18.789,-12.832,0,17.043
1,1,10.5,1.438,711.98,0,30.19,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,263.73,0,307.77,0,0,0,6.254,4.301,-13.911,0,20.165,-12.404,0,16.704,-13.911,0,20.165,-12.404,0,16.704
1,1,11.0,1.458,721.37,0,30.69,0,-9999.00,-9999,-9999.00,-9999,0.00,38.70,262.13,0,281.05,0,0,0,6.359,4.369,-11.116,0,17.475,-11.065,0,15.433,-11.116,0,17.475,-11.065,0,15.433
1,1,11.5,1.479,730.77,0,31.18,0,-9999.00,-9999,-9999.00,-9999,0.00,38.69,260.53,0,254.34,0,0,0,6.464,4.437,-9.735,0,16.199,-9.726,0,14.162,-9.735,0,16.199,-9.726,0,14.162
