Period,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,8,11.47,0.90,23.50,0.90,-9999.00,-9999.00,-9999.00,-9999.00,2.54,41.48,16.25,0.89,86.10,0.89,12.50,8.01,0.16,0.89,12.34,-2.27,0.89,10.28,-0.92,0.89,13.42,-3.12,0.89,11.13
2,8,10.62,1.00,22.34,1.00,-9999.00,-9999.00,-9999.00,-9999.00,7.54,45.10,8.94,1.00,76.68,1.00,11.20,8.25,0.79,1.00,10.41,-1.35,1.00,9.59,0.01,1.00,11.18,-1.93,1.00,10.17
3,8,12.42,1.00,24.02,1.00,-9999.00,-9999.00,-9999.00,-9999.00,11.37,45.51,14.49,1.00,88.93,1.00,12.14,8.44,0.85,1.00,11.29,-1.02,1.00,9.45,-1.72,1.00,13.86,-2.31,1.00,10.74
4,8,13.02,0.97,24.64,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.64,44.95,16.02,0.99,99.25,0.99,10.48,8.06,0.50,1.00,9.98,-0.57,1.00,8.63,-0.77,1.00,11.25,-0.74,1.00,8.80
5,8,14.22,1.00,25.27,1.00,-9999.00,-9999.00,-9999.00,-9999.00,10.00,45.42,19.91,1.00,101.25,1.00,11.15,7.85,0.30,0.98,10.86,-0.73,1.00,8.58,-2.01,1.00,13.16,-2.06,1.00,9.90
6,8,14.09,0.99,24.82,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.00,44.93,22.01,1.00,99.80,1.00,10.44,7.64,-0.08,0.98,10.52,-1.13,1.00,8.77,-0.54,1.00,10.97,-1.29,1.00,8.94
7,8,13.48,1.00,24.70,1.00,-9999.00,-9999.00,-9999.00,-9999.00,7.05,45.15,16.40,1.00,90.28,1.00,10.13,8.54,-0.51,1.00,10.64,-0.86,1.00,9.40,-0.35,1.00,10.48,-1.17,1.00,9.71
8,8,12.92,1.00,24.83,1.00,-9999.00,-9999.00,-9999.00,-9999.00,8.99,45.34,16.16,1.00,82.96,1.00,10.83,8.67,0.46,1.00,10.36,-1.46,1.00,10.13,0.19,1.00,10.64,-1.53,1.00,10.20
9,8,14.40,1.00,25.53,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.46,45.02,15.68,1.00,95.39,1.00,11.91,8.29,1.03,1.00,10.89,-0.98,1.00,9.27,0.04,1.00,11.87,-1.03,1.00,9.32
10,8,15.30,1.00,25.40,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.91,44.72,18.55,1.00,100.65,1.00,11.40,9.24,1.37,1.00,10.03,0.20,1.00,9.04,1.16,1.00,10.23,0.10,1.00,9.14
