Period,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
11,8,14.78,1.00,25.37,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.91,46.17,23.03,1.00,90.89,1.00,11.24,8.24,1.15,1.00,10.09,-0.72,1.00,8.96,0.73,1.00,10.51,-0.68,1.00,8.92
12,8,14.74,1.00,25.23,1.00,-9999.00,-9999.00,-9999.00,-9999.00,9.56,46.35,19.15,1.00,88.47,1.00,11.87,8.32,2.48,1.00,9.39,0.39,1.00,7.93,1.93,1.00,9.94,0.42,1.00,7.90
13,8,14.34,1.00,25.37,1.00,-9999.00,-9999.00,-9999.00,-9999.00,10.29,46.33,22.06,1.00,87.13,1.00,10.65,8.98,2.20,1.00,8.45,0.89,1.00,8.10,2.21,1.00,8.44,0.43,1.00,8.56
14,8,14.18,1.00,25.25,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.49,46.31,21.67,0.80,83.10,0.80,9.95,8.62,2.24,0.51,7.71,1.76,0.55,6.86,2.37,1.00,7.57,-0.21,1.00,8.83
15,8,16.88,1.00,25.98,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.03,46.03,29.23,0.13,98.33,0.13,8.87,8.92,1.44,0.21,7.44,0.60,0.21,8.32,1.59,1.00,7.28,-0.17,1.00,9.08
16,8,15.11,1.00,25.93,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.38,45.99,24.78,0.96,86.81,0.96,7.74,8.10,1.99,0.99,5.75,0.29,1.00,7.81,2.13,1.00,5.61,0.30,1.00,7.79
17,8,15.13,1.00,26.30,1.00,-9999.00,-9999.00,-9999.00,-9999.00,7.08,46.08,18.68,1.00,83.57,1.00,8.50,6.71,1.84,1.00,6.66,-0.10,1.00,6.81,1.96,1.00,6.54,0.16,1.00,6.56
18,8,15.62,1.00,26.39,1.00,-9999.00,-9999.00,-9999.00,-9999.00,5.56,46.24,19.54,1.00,87.55,1.00,9.54,7.77,1.65,1.00,7.89,0.44,1.00,7.33,1.65,1.00,7.89,0.50,1.00,7.27
19,8,18.10,1.00,26.32,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.35,45.76,27.62,1.00,97.72,1.00,8.24,6.44,0.95,1.00,7.30,-0.14,1.00,6.57,1.13,1.00,7.11,0.02,1.00,6.42
20,8,14.20,1.00,25.09,1.00,-9999.00,-9999.00,-9999.00,-9999.00,6.86,46.01,19.75,1.00,81.73,1.00,9.31,6.64,1.63,1.00,7.67,-0.13,1.00,6.78,2.22,1.00,7.09,-0.02,1.00,6.67
21,8,14.85,1.00,25.49,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.13,46.02,19.33,1.00,81.11,1.00,10.37,6.68,2.87,1.00,7.50,1.34,1.00,5.34,2.39,1.00,7.98,1.08,1.00,5.60
22,8,12.10,1.00,24.61,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.11,45.55,15.88,1.00,72.03,1.00,9.23,6.99,1.90,1.00,7.33,0.80,1.00,6.19,2.02,1.00,7.21,0.81,1.00,6.18
23,8,17.20,1.00,25.89,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.60,45.75,22.76,1.00,90.80,1.00,10.05,7.63,1.97,1.00,8.07,0.50,1.00,7.13,1.99,1.00,8.05,0.60,1.00,7.03
24,8,17.63,1.00,26.34,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.62,45.06,21.91,1.00,99.60,1.00,8.86,6.98,0.79,1.00,8.08,-0.41,1.00,7.39,0.65,1.00,8.22,-0.39,1.00,7.37
25,8,17.75,1.00,25.92,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.92,44.16,21.42,1.00,96.49,1.00,9.51,7.49,0.81,1.00,8.71,-0.33,1.00,7.82,0.65,1.00,8.87,-0.47,1.00,7.97
26,8,19.52,1.00,26.63,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.19,43.34,27.48,1.00,103.08,1.00,9.44,7.35,0.95,1.00,8.49,0.22,1.00,7.13,0.92,1.00,8.51,-0.18,1.00,7.52
27,8,21.54,1.00,27.62,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.48,42.86,23.66,1.00,123.47,1.00,4.92,3.98,-1.00,1.00,5.92,-1.50,1.00,5.48,-0.27,1.00,5.19,-1.53,1.00,5.51
28,8,20.89,1.00,27.69,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.03,42.07,25.80,1.00,115.41,1.00,6.19,4.23,-0.42,1.00,6.61,-1.79,1.00,6.02,0.14,1.00,6.05,-1.54,1.00,5.77
29,8,20.91,1.00,28.01,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.06,41.52,25.38,1.00,119.85,1.00,8.69,5.74,0.72,1.00,7.97,-1.43,1.00,7.17,-0.06,1.00,8.75,-1.39,1.00,7.13
30,8,19.74,1.00,27.76,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.06,41.54,25.72,1.00,104.29,1.00,8.56,5.90,1.07,1.00,7.48,-0.77,1.00,6.68,0.76,1.00,7.80,-0.76,1.00,6.66
31,8,19.76,1.00,27.58,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.57,41.38,22.62,1.00,113.79,1.00,8.86,6.59,-0.24,1.00,9.10,-1.66,1.00,8.25,-0.31,1.00,9.17,-1.67,1.00,8.27
32,8,19.79,1.00,26.85,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.03,44.77,32.97,1.00,109.04,1.00,6.48,6.43,-0.38,1.00,6.86,-0.56,1.00,6.99,0.06,1.00,6.43,-0.47,1.00,6.90
33,8,19.32,1.00,26.91,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.16,43.45,30.88,1.00,105.56,1.00,11.33,5.34,1.40,1.00,9.93,-0.83,1.00,6.18,1.36,1.00,9.98,-0.93,1.00,6.28
34,8,21.61,1.00,27.88,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.16,42.57,33.76,1.00,117.06,1.00,11.83,5.95,0.57,1.00,11.26,-1.33,1.00,7.28,-0.02,1.00,11.85,-1.42,1.00,7.37
35,8,22.96,1.00,28.14,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,41.03,40.60,1.00,118.60,1.00,6.64,4.82,-1.15,1.00,7.79,-2.54,1.00,7.36,-1.19,1.00,7.83,-2.73,1.00,7.55
36,8,18.18,1.00,27.95,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.35,40.63,24.04,1.00,99.47,1.00,6.96,4.65,-1.18,1.00,8.14,-2.20,1.00,6.85,-1.39,1.00,8.35,-2.34,1.00,6.99
37,8,21.29,1.00,28.37,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.03,40.30,37.41,1.00,110.51,1.00,6.65,5.09,-1.24,1.00,7.89,-2.36,1.00,7.45,-1.47,1.00,8.12,-2.62,1.00,7.71
38,8,16.78,1.00,27.41,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.63,39.95,32.02,1.00,88.59,1.00,7.34,4.77,-0.91,1.00,8.26,-2.26,1.00,7.03,-0.78,1.00,8.13,-2.52,1.00,7.29
39,8,17.06,1.00,27.81,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.95,40.17,26.12,1.00,94.40,1.00,5.57,4.26,-0.60,1.00,6.17,-1.31,1.00,5.57,-0.69,1.00,6.26,-1.43,1.00,5.70
40,8,18.05,1.00,28.29,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.02,40.07,27.47,1.00,105.62,1.00,3.54,3.23,-1.69,0.98,5.23,-2.66,0.98,5.89,-1.35,1.00,4.89,-2.47,1.00,5.70
41,8,17.18,1.00,28.10,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,39.75,26.02,1.00,102.80,1.00,4.38,3.64,-1.74,0.31,6.12,-2.61,0.40,6.25,-0.83,1.00,5.21,-2.10,1.00,5.74
42,8,16.39,0.99,27.52,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.14,39.52,35.27,1.00,89.77,1.00,5.82,5.34,-0.31,0.33,6.13,-0.84,0.34,6.19,0.01,1.00,5.82,-1.80,1.00,7.14
43,8,15.84,1.00,27.23,1.00,-9999.00,-9999.00,-9999.00,-9999.00,2.68,39.42,30.53,1.00,88.22,1.00,7.16,6.59,-0.17,0.97,7.34,-0.88,0.98,7.47,-0.13,1.00,7.29,-1.00,1.00,7.58
44,8,16.84,0.98,28.28,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.22,39.40,32.42,1.00,99.17,1.00,8.22,6.08,0.25,1.00,7.96,-0.64,1.00,6.72,-0.73,1.00,8.95,-0.78,1.00,6.86
45,8,16.08,0.99,28.18,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.32,38.98,34.04,0.99,83.46,0.99,6.84,5.92,-0.38,0.99,7.22,-0.90,0.99,6.81,-1.01,1.00,7.86,-1.18,1.00,7.09
46,5,15.98,0.98,28.37,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,38.80,46.11,1.00,79.53,1.00,6.82,4.67,0.03,0.99,6.79,-1.21,0.99,5.87,-1.19,0.99,8.01,-2.05,0.99,6.72
