Month,Day,DoY,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,23,23,10.70,1.00,24.69,1.00,-9999.00,-9999.00,-9999.00,-9999.00,18.35,45.18,17.69,1.00,90.33,1.00,12.07,8.67,1.28,1.00,10.80,-1.09,1.00,9.76,-1.87,1.00,13.94,-2.22,1.00,10.89
1,24,24,12.81,1.00,23.97,1.00,-9999.00,-9999.00,-9999.00,-9999.00,22.03,45.45,13.85,1.00,92.09,1.00,11.41,8.39,0.25,1.00,11.16,-1.26,1.00,9.65,-1.71,1.00,13.12,-2.39,1.00,10.78
1,25,25,13.13,0.96,24.16,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,45.27,18.41,0.92,99.81,0.92,10.79,8.51,-0.34,0.98,11.13,-0.76,0.98,9.27,-0.59,1.00,11.38,-1.21,1.00,9.72
1,26,26,17.64,0.90,24.53,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,44.84,40.51,1.00,146.29,1.00,10.39,8.04,-1.07,1.00,11.46,-0.31,1.00,8.35,-3.11,1.00,13.51,-0.84,1.00,8.88
1,27,27,16.24,1.00,25.85,1.00,-9999.00,-9999.00,-9999.00,-9999.00,7.11,44.48,24.54,0.98,118.85,0.98,11.04,8.53,0.95,1.00,10.09,-0.33,1.00,8.86,-1.37,1.00,12.41,-0.33,1.00,8.86
1,28,28,13.72,0.90,25.86,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.70,44.44,2.94,1.00,125.87,1.00,11.15,8.62,0.09,1.00,11.06,0.23,1.00,8.39,-0.29,1.00,11.44,0.23,1.00,8.39
1,29,29,11.61,1.00,25.06,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.89,44.99,11.62,1.00,75.86,1.00,10.79,8.32,1.69,1.00,9.10,0.53,1.00,7.79,-0.51,1.00,11.30,0.33,1.00,7.98
1,30,30,13.08,1.00,24.80,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.59,44.76,16.59,1.00,95.94,1.00,10.52,8.08,-0.58,1.00,11.10,-2.63,1.00,10.72,-2.43,1.00,12.96,-2.94,1.00,11.03
1,31,31,9.14,1.00,23.50,1.00,-9999.00,-9999.00,-9999.00,-9999.00,27.75,45.25,5.31,1.00,60.59,1.00,9.58,7.30,1.96,1.00,7.62,-0.39,1.00,7.69,1.47,1.00,8.11,-0.32,1.00,7.62
2,1,32,9.61,1.00,23.39,1.00,-9999.00,-9999.00,-9999.00,-9999.00,3.05,45.58,8.24,1.00,70.80,1.00,9.57,7.07,1.29,1.00,8.29,-0.88,1.00,7.95,0.67,1.00,8.90,-0.88,1.00,7.96
