Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,0,24.78,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.19,1,-10.68,0,99,96,4.942,4.398,4.819,1,0.123,4.940,1,-0.542,7.914,1,-2.972,7.024,1,-2.625
1,1,1.0,1.042,0.00,1,24.74,1,-9999.00,-9999,-9999.00,-9999,0.00,-9999.00,0.23,2,-10.68,1,99,99,4.942,4.393,5.809,2,-0.867,3.748,2,0.645,5.809,3,-0.867,3.748,3,0.645
1,1,1.5,1.063,0.00,0,24.35,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.26,1,-10.68,0,99,96,4.942,4.338,4.750,1,0.192,4.928,1,-0.590,8.025,1,-3.083,6.956,1,-2.618
1,1,2.0,1.083,0.00,0,24.22,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.24,1,-10.68,0,99,96,4.942,4.320,4.750,1,0.192,4.940,1,-0.620,8.025,1,-3.083,6.918,1,-2.598
1,1,2.5,1.104,0.00,0,24.09,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.23,1,-10.68,0,99,96,4.942,4.302,4.750,1,0.192,4.928,1,-0.626,8.007,1,-3.065,6.875,1,-2.573
1,1,3.0,1.125,0.00,0,23.95,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.25,1,-10.68,0,99,96,4.942,4.283,4.750,1,0.192,4.893,1,-0.610,7.919,1,-2.977,6.824,1,-2.541
1,1,3.5,1.146,0.00,0,23.81,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.30,1,-10.68,0,99,96,4.942,4.264,4.745,1,0.197,4.833,1,-0.569,7.623,1,-2.682,6.770,1,-2.506
1,1,4.0,1.167,0.00,0,23.70,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.39,1,-10.68,0,99,96,4.942,4.248,4.768,1,0.174,4.747,1,-0.499,7.359,1,-2.417,6.724,1,-2.476
1,1,4.5,1.188,0.00,0,23.59,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.49,1,-10.68,0,99,96,4.942,4.233,4.785,1,0.157,4.710,1,-0.478,7.253,1,-2.311,6.676,1,-2.444
1,1,5.0,1.208,3.02,0,23.45,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.60,1,-10.68,0,99,96,4.942,4.213,4.770,1,0.172,4.721,1,-0.507,7.191,1,-2.249,6.617,1,-2.404
1,1,5.5,1.229,6.03,0,23.31,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-8.60,1,-10.68,0,99,96,4.942,4.194,4.770,1,0.172,4.764,1,-0.569,7.131,1,-2.189,6.557,1,-2.362
1,1,6.0,1.250,53.89,0,23.35,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-14.01,1,-10.68,0,99,96,4.942,4.200,3.710,1,1.232,5.962,1,-1.762,5.034,1,-0.092,2.082,1,2.118
1,1,6.5,1.271,101.76,0,23.39,0,-9999.00,-9999,-9999.00,-9999,0.00,41.45,-12.27,1,-10.68,0,99,96,4.942,4.205,2.693,1,2.249,3.083,1,1.123,3.241,1,1.701,-0.853,1,5.058
