Month,Day,DoY,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,1,1,16.95,1.00,29.13,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,38.69,61.64,1.00,85.01,1.00,6.26,4.31,0.24,0.98,6.02,-0.52,0.98,4.84,-1.25,0.98,7.51,-1.08,0.98,5.40
1,2,2,14.40,1.00,27.56,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,38.66,51.77,1.00,69.21,1.00,5.92,4.09,-2.01,1.00,7.93,-3.32,1.00,7.42,-1.84,1.00,7.76,-3.09,1.00,7.19
1,3,3,15.26,1.00,24.17,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,42.79,37.90,1.00,81.75,1.00,5.20,3.62,-1.19,1.00,6.38,-2.08,1.00,5.70,0.08,1.00,5.12,-3.13,1.00,6.75
1,4,4,14.68,1.00,25.72,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,45.03,35.24,1.00,82.56,1.00,5.54,3.87,-1.38,1.00,6.91,-1.86,1.00,5.72,-2.05,1.00,7.59,-2.18,1.00,6.05
1,5,5,14.69,1.00,25.66,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,44.32,32.52,1.00,82.50,1.00,6.46,4.61,-0.10,1.00,6.57,-0.91,1.00,5.52,-0.80,1.00,7.27,-2.01,1.00,6.61
1,6,6,14.79,1.00,24.03,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,44.87,32.67,1.00,86.24,1.00,9.80,5.60,0.06,1.00,9.74,-0.75,1.00,6.34,0.95,1.00,8.85,-2.24,1.00,7.84
1,7,7,14.83,1.00,24.22,1.00,-9999.00,-9999.00,-9999.00,-9999.00,1.84,45.68,34.45,1.00,86.66,1.00,7.85,5.54,0.15,1.00,7.70,-0.83,1.00,6.37,0.74,1.00,7.12,-1.44,1.00,6.98
1,8,8,11.59,1.00,23.65,1.00,-9999.00,-9999.00,-9999.00,-9999.00,4.64,45.84,10.63,1.00,67.28,1.00,9.32,6.65,1.60,1.00,7.72,1.48,1.00,5.17,1.69,1.00,7.63,1.84,1.00,4.81
1,9,9,15.60,1.00,26.24,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,45.21,33.65,1.00,111.00,1.00,10.80,7.96,0.24,1.00,10.56,-1.20,1.00,9.16,-1.57,1.00,12.37,-1.79,1.00,9.75
1,10,10,16.17,1.00,26.27,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.76,44.71,57.53,1.00,112.15,1.00,10.82,7.45,1.36,1.00,9.46,-0.38,1.00,7.83,-3.11,1.00,13.93,-2.33,1.00,9.78
