Month,Day,DoY,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,1,1,15.12,1.00,26.32,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,41.39,21.20,0.96,-8.61,1.00,5.13,4.79,-0.14,0.96,5.27,-0.33,0.96,5.12,-1.84,0.98,6.97,-1.60,0.98,6.38
1,2,2,15.73,1.00,25.54,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,41.43,29.68,1.00,94.26,1.00,5.13,4.67,-0.07,1.00,5.20,0.62,1.00,4.05,0.35,1.00,4.78,0.49,1.00,4.18
1,3,3,16.36,1.00,26.21,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,41.14,26.81,1.00,109.36,1.00,5.13,4.77,-0.59,1.00,5.72,-0.60,1.00,5.37,-1.21,1.00,6.34,-0.48,1.00,5.25
1,4,4,15.73,1.00,26.81,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,40.76,24.68,1.00,104.29,1.00,5.18,4.89,-0.70,1.00,5.88,-0.69,1.00,5.58,-1.86,1.00,7.04,-2.71,1.00,7.60
1,5,5,15.64,1.00,26.85,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,40.34,19.66,1.00,98.70,1.00,6.01,5.48,0.80,1.00,5.21,-0.16,1.00,5.64,-0.30,1.00,6.31,-0.95,1.00,6.43
1,6,6,16.25,1.00,27.19,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,39.94,24.94,1.00,106.79,1.00,6.18,5.53,0.27,0.96,5.91,-1.11,1.00,6.64,-1.09,1.00,7.27,-2.47,1.00,8.01
1,7,7,14.61,1.00,26.83,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.25,39.61,11.46,1.00,103.76,1.00,6.45,5.61,0.84,1.00,5.61,0.92,1.00,4.69,-1.22,1.00,7.68,-0.88,1.00,6.49
1,8,8,17.33,1.00,27.74,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.25,39.36,23.90,1.00,113.66,1.00,6.88,6.18,-0.21,1.00,7.08,-0.28,1.00,6.47,-2.88,1.00,9.76,-0.03,1.00,6.21
1,9,9,15.88,1.00,27.04,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,39.12,8.40,1.00,103.67,1.00,7.04,6.35,0.77,1.00,6.27,0.43,1.00,5.92,-0.39,1.00,7.43,0.09,1.00,6.25
1,10,10,14.91,1.00,26.46,1.00,-9999.00,-9999.00,-9999.00,-9999.00,0.00,38.98,8.82,1.00,87.45,1.00,7.11,6.37,-0.15,1.00,7.26,-2.14,1.00,8.51,-0.05,1.00,7.15,-2.14,1.00,8.51
